,freq,siec,nrg_bal,unit,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
90,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,DK,7.557,7.659,7.68,7.545,7.79,8.491,9.01,9.646,10.837,11.907,12.817,14.707,17.387,17.953,18.617,21.226,22.743,25.667,28.041
91,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,EA20,573.878,570.66,551.893,574.723,607.003,634.448,689.674,759.788,773.491,842.026,896.882,962.79,1053.561,1107.368,1130.795,1129.886,1046.998,1064.553,1208.32
92,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,EE,0.191,0.191,0.191,0.183,0.189,0.182,0.223,0.213,0.22,0.221,0.281,0.3,0.296,0.331,0.259,0.321,0.318,0.247,0.313
93,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,EL,1.487,0.751,1.064,1.537,1.249,1.367,0.734,1.014,1.044,2.107,3.656,4.202,4.02,4.177,4.638,4.874,5.046,4.484,5.726
94,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,ES,55.647,59.719,39.818,44.743,51.386,53.426,62.581,89.399,93.182,95.971,104.023,113.656,114.576,116.065,114.915,109.019,88.529,99.4,120.794
95,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,EU27_2020,835.807,818.511,794.454,825.218,832.757,865.367,924.811,1033.266,1045.592,1138.433,1191.411,1280.067,1396.97,1459.457,1492.112,1494.934,1398.231,1366.347,1531.476
96,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,FI,14.469,14.883,15.503,16.757,16.674,15.679,17.018,16.835,17.247,18.255,18.047,18.41,18.674,20.853,22.42,23.714,21.678,22.568,23.442
97,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,FR,136.785,134.561,136.212,141.409,151.327,153.048,160.178,162.631,170.005,188.109,197.534,213.544,223.415,230.663,223.689,226.505,192.021,150.615,175.784
98,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,GE,,,,,,,,,,,,,,,,,,5.566,7.152
99,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,HR,6.596,6.987,7.319,7.563,7.544,7.041,7.105,7.404,7.42,6.885,6.866,7.742,8.441,8.926,9.538,9.575,9.259,10.235,11.198
100,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,HU,14.915,14.956,16.361,17.232,17.34,18.237,17.65,19.872,18.012,24.022,24.424,26.296,28.162,29.905,30.248,30.645,31.619,9.866,12.031
101,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,IE,0.689,0.804,0.772,0.719,0.786,0.68,0.727,0.807,0.824,0.839,0.845,0.948,1.1,1.157,1.3,1.386,1.381,1.541,1.637
102,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
